"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "HTML", "Batch", "JavaScript", "vue", "PowerShell", "Properties", "Python", "pip requirements", "reStructuredText", "XML", "CSS", "C", "comment", "blank", "total"
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\ssl_match_hostname.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 54, 21, 160
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\ssltransport.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 29, 38, 222
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\timeout.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 153, 26, 269
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\url.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 107, 66, 436
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\urllib3\util\wait.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 44, 26, 153
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\webencodings\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 173, 44, 343
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\webencodings\labels.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 13, 3, 232
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\webencodings\mklabels.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 24, 10, 60
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\webencodings\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 13, 25, 154
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pip\_vendor\webencodings\x_user_defined.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 18, 23, 326
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pkg_resources\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1827, 0, 0, 0, 0, 0, 900, 562, 3289
"d:\desktop\PinesWebPro\pines3.0\pythonPro\Lib\site-packages\pkg_resources\_vendor\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
